application_id,age,gender,visa_type,documents_submitted,visa_granted,rejection_reason
AUS100000,53,Male,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Academic documents incomplete
AUS100001,58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100002,58,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
AUS100003,38,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Missing documents
AUS100004,26,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100005,52,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100006,31,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100007,54,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100008,26,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,IELTS requirement not met
AUS100009,20,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
AUS100010,19,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Employer not verified
AUS100011,18,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Failed health requirements
AUS100012,39,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency",No,Invalid or expired passport
AUS100013,32,Other,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
AUS100014,21,Female,Student Visa,"Passport, Bank Statement, English Proficiency, Birth Certificate",No,Failed health requirements
AUS100015,50,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Incorrect application form
AUS100016,28,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Inconsistent information
AUS100017,58,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,No strong home-country ties
AUS100018,48,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100019,42,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100020,56,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100021,28,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100022,41,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
AUS100023,43,Male,Work Visa,"Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,IELTS requirement not met
AUS100024,53,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,IELTS requirement not met
AUS100025,25,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100026,46,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Invalid or expired passport
AUS100027,36,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100028,30,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
AUS100029,56,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100030,19,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100031,40,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,Inconsistent information
AUS100032,44,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
AUS100033,26,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100034,22,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100035,55,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100036,34,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100037,23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100038,29,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100039,38,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
AUS100040,58,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Academic documents incomplete
AUS100041,36,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency",No,Missing documents
AUS100042,57,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
AUS100043,28,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100044,58,Other,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS100045,27,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Failed health requirements
AUS100046,45,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate",No,Inconsistent information
AUS100047,53,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100048,28,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100049,54,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100050,35,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100051,20,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Missing documents
AUS100052,56,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100053,41,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100054,29,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100055,33,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
AUS100056,39,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Unclear travel purpose
AUS100057,36,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100058,35,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100059,48,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
AUS100060,32,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Invalid or expired passport
AUS100061,31,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100062,29,Other,Visit Visa,"Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
AUS100063,23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,Missing documents
AUS100064,26,Female,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency",No,IELTS requirement not met
AUS100065,26,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
AUS100066,27,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Unclear travel purpose
AUS100067,39,Other,Student Visa,"Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Employer not verified
AUS100068,34,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
AUS100069,26,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
AUS100070,22,Female,Student Visa,"Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
AUS100071,20,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
